Day,Time,Band,Genre,Instagram,Thumbnail
SUN,8.30PM - 10.15PM,Lunar Echoes feat. Solis,Indie Pop / Dreamwave,@lunarechoes,assets/bands/lunar-echoes.jpg
SUN,10.30PM - 12.15AM,Nebulae Nights,Space Jazz,@nebulaenights,assets/bands/nebulae-nights.jpg
MON,8.30PM - 12.15AM,The Crimson Meteors,Indie Rock,@crimsonmeteors,assets/bands/crimson-meteors.jpg
TUE,8.30PM - 12.15AM,Orbit Oddities feat. Lyra,Jazz / Pop Fusion,@orbitoddities,assets/bands/orbit-oddities.jpg
WED,8.30PM - 10.15PM,Red Dust Trio,Cosmic Jazz,@reddusttrio,assets/bands/red-dust-trio.jpg
WED,10.30PM - 12.15AM,Astroflora,Psychedelic Soul,@astroflora,assets/bands/astroflora.jpg
THU,8.30PM - 10.15PM,Starlight Caravan feat. Vega,Folk / Soul,@starlightcaravan,assets/bands/starlight-caravan.jpg
THU,10.30PM - 1.00AM,Zero Gravity Club,Electronic Indie,@zerogravityclub,assets/bands/zero-gravity-club.jpg
FRI,8.00PM - 10.45PM,Martian Funk Syndicate,Jazz / Soul / Funk,@martianfunksyn,assets/bands/martian-funk-syndicate.jpg
FRI,11.00PM - Till Late,The Mars Tones,Electronic Pop,@themarstones,assets/bands/mars-tones.jpg
SAT,8.00PM - 10.45PM,Solar Flare Quartet feat. Orion,Jazz / Funk / Experimental,@solarflarequar,assets/bands/solar-flare-quartet.jpg
SAT,11.00PM - Till Late,Alien Disco Ensemble,Space Pop / Synth Funk,@aliendiscoens,assets/bands/alien-disco-ensemble.jpg
